trait.name,T,trait,ref,trait2,trait2.name
pEA,22,0.90812,Westbrook_Thesis_2010,NA,NA
pEA,27,0.9359,Westbrook_Thesis_2010,NA,NA
pEA,32,0.81944,Westbrook_Thesis_2010,NA,NA
MDR,22,0.09174,Westbrook_Thesis_2010,NA,NA
MDR,27,0.13587,Westbrook_Thesis_2010,NA,NA
MDR,32,0.15823,Westbrook_Thesis_2010,NA,NA
MDR,21,0.06161,Couret_et_al_2007_PLOS,NA,NA
MDR,24,0.07599,Couret_et_al_2007_PLOS,NA,NA
MDR,27,0.08688,Couret_et_al_2007_PLOS,NA,NA
MDR,30,0.10081,Couret_et_al_2007_PLOS,NA,NA
PDR,22,0.04,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
PDR,24,0.05,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
PDR,26,0.07,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
PDR,28,0.08,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
PDR,30,0.1,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
PDR,32,0.12,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
gcd,22,7.3,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
gcd,24,6.1,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
gcd,26,4.2,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
gcd,28,3.5,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
gcd,30,2.9,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
gcd,32,2.4,Focks_Barrera_2006_Research&TrainingTropicalDis_Geneva_Paper,NA,NA
p,26,0.8,Rohani_et_al_2009_SEJTropMedPH,NA,NA
p,28,0.7,Rohani_et_al_2009_SEJTropMedPH,NA,NA
p,30,0.6,Rohani_et_al_2009_SEJTropMedPH,NA,NA
p,26,0.75,Rohani_et_al_2009_SEJTropMedPH,NA,NA
p,28,0.7,Rohani_et_al_2009_SEJTropMedPH,NA,NA
p,30,0.55,Rohani_et_al_2009_SEJTropMedPH,NA,NA
MDR,15,0.01807,Rueda_et_al_1990_EntSocAm,NA,NA
MDR,20,0.08045,Rueda_et_al_1990_EntSocAm,NA,NA
MDR,27,0.08532,Rueda_et_al_1990_EntSocAm,NA,NA
MDR,25,0.15723,Rueda_et_al_1990_EntSocAm,NA,NA
MDR,30,0.14577,Rueda_et_al_1990_EntSocAm,NA,NA
MDR,34,0.1626,Rueda_et_al_1990_EntSocAm,NA,NA
pEA,15,0.0311,Rueda_et_al_1990_EntSocAm,NA,NA
pEA,20,0.918,Rueda_et_al_1990_EntSocAm,NA,NA
pEA,25,0.6258,Rueda_et_al_1990_EntSocAm,NA,NA
pEA,27,0.8976,Rueda_et_al_1990_EntSocAm,NA,NA
pEA,30,0.6634,Rueda_et_al_1990_EntSocAm,NA,NA
pEA,34,0.5914,Rueda_et_al_1990_EntSocAm,NA,NA
MDR,15,0.02519,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
MDR,20,0.07299,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
MDR,25,0.10309,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
MDR,30,0.11905,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
MDR,35,0.13889,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,10,0,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,15,0.235,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,20,0.9,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,25,0.88,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,27,0.93,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,30,0.88,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,35,0.67,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
pEA,40,0,Tun-Lin_et_al_2000_MedVetEnto,NA,NA
MDR,20,0.00104,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Karachi,Strain
MDR,25,0.09634,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Karachi,Strain
MDR,30,0.1218,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Karachi,Strain
MDR,20,0.06215,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Surabaya,Strain
MDR,25,0.09285,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Surabaya,Strain
MDR,30,0.12804,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Surabaya,Strain
MDR,20,0.06427,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Timor,Strain
MDR,25,0.08467,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Timor,Strain
MDR,30,0.13333,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Timor,Strain
pEA,20,0.56,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Karachi,Strain
pEA,25,0.92,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Karachi,Strain
pEA,30,0.94,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Karachi,Strain
pEA,20,0.54,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Surabaya,Strain
pEA,25,0.82,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Surabaya,Strain
pEA,30,0.86,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Surabaya,Strain
pEA,20,0.7,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Timor,Strain
pEA,25,0.86,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Timor,Strain
pEA,30,1,Kamimura_et_al_2002_JapanSocMedEnt&Zoo,Timor,Strain
p/days,10.82372552,0.091759667,Yang_et_al_2008_EpidInfect,NA,NA
p/days,10.60066603,0.075675353,Yang_et_al_2008_EpidInfect,NA,NA
p/days,15.3309921,0.035920552,Yang_et_al_2008_EpidInfect,NA,NA
p/days,16.55244216,0.032425471,Yang_et_al_2008_EpidInfect,NA,NA
p/days,20.04602109,0.042145005,Yang_et_al_2008_EpidInfect,NA,NA
p/days,21.77042116,0.037210774,Yang_et_al_2008_EpidInfect,NA,NA
p/days,25.61629688,0.030438368,Yang_et_al_2008_EpidInfect,NA,NA
p/days,27.62920948,0.027156001,Yang_et_al_2008_EpidInfect,NA,NA
p/days,31.34186139,0.044093837,Yang_et_al_2008_EpidInfect,NA,NA
p/days,31.66115353,0.034199563,Yang_et_al_2008_EpidInfect,NA,NA
p/days,32.56507293,0.044516297,Yang_et_al_2008_EpidInfect,NA,NA
p/days,33.39482457,0.049883965,Yang_et_al_2008_EpidInfect,NA,NA
EFD,10.57413184,0.033741077,Yang_et_al_2008_EpidInfect,NA,NA
EFD,10.81052189,0.067996215,Yang_et_al_2008_EpidInfect,NA,NA
EFD,15.30290639,0.373021158,Yang_et_al_2008_EpidInfect,NA,NA
EFD,16.55096406,1.06293739,Yang_et_al_2008_EpidInfect,NA,NA
EFD,20.0580655,3.340506817,Yang_et_al_2008_EpidInfect,NA,NA
EFD,21.84793149,3.58010585,Yang_et_al_2008_EpidInfect,NA,NA
EFD,25.58830746,6.998562967,Yang_et_al_2008_EpidInfect,NA,NA
EFD,27.61388198,7.514493008,Yang_et_al_2008_EpidInfect,NA,NA
EFD,31.6687307,7.232226934,Yang_et_al_2008_EpidInfect,NA,NA
EFD,33.42559166,7.195214562,Yang_et_al_2008_EpidInfect,NA,NA
EFD,31.32446579,9.5151239,Yang_et_al_2008_EpidInfect,NA,NA
EFD,32.5359161,11.20797261,Yang_et_al_2008_EpidInfect,NA,NA
c,15,0.68,Lambrects_et_al_2011_PNAS,NA,NA
c,18,0.57,Lambrects_et_al_2011_PNAS,NA,NA
c,22,0.95,Lambrects_et_al_2011_PNAS,NA,NA
c,32,1,Lambrects_et_al_2011_PNAS,NA,NA
c,15,0.73,Lambrects_et_al_2011_PNAS,NA,NA
c,18,0.73,Lambrects_et_al_2011_PNAS,NA,NA
c,22,0.95,Lambrects_et_al_2011_PNAS,NA,NA
c,32,1,Lambrects_et_al_2011_PNAS,NA,NA
c,20,0.96,Lambrects_et_al_2011_PNAS,NA,NA
c,27,0.97,Lambrects_et_al_2011_PNAS,NA,NA
c,20,1,Lambrects_et_al_2011_PNAS,NA,NA
c,27,1,Lambrects_et_al_2011_PNAS,NA,NA
c,20,1,Lambrects_et_al_2011_PNAS,NA,NA
c,27,1,Lambrects_et_al_2011_PNAS,NA,NA
c,10,0.08,Lambrects_et_al_2011_PNAS,NA,NA
c,15,0.6,Lambrects_et_al_2011_PNAS,NA,NA
c,20,0.72,Lambrects_et_al_2011_PNAS,NA,NA
c,25,0.68,Lambrects_et_al_2011_PNAS,NA,NA
c,30,0.72,Lambrects_et_al_2011_PNAS,NA,NA
